ref	value	footprint
C1	100nF	
C2	100nF	
C3	100nF	
C4	100nF	
C5	100nF	
C6	6.8nF	
C7	100nF	
C8	680pF	
C9	22pF	
C10	22pF	
C12	1000uF	
C13	1000uF	
C15	10uF	
C16	10uF	
C18	0.1uF	
C19	0.1uF	
C21	0.1uF	
C22	0.1uF	
C24	10uF	
C25	10uF	
C27	1000uF	
C28	1000uF	
C29	100nF	
C30	100nF	
C31	0.33uF	
C32	1.0uF	
C35	0.01uF	
C39	0.001uF	
C40	0.001uF	
C41	0.001uF	
C42	1.0uF	
C43	1.0uF	
C44	1.0uF	
C45	0.001uF	
C46	0.22uF	
C48	0.22uF	
D2	1N4004	
D3	1N4004	
D4	LED	
D5	LED	
D6	1N4004	
J1	USB_B	
P1	Battery	
P2	12v-SW	
P3	12v-SW2	
P6	CONN_3X2	
P7	BRV-12v	
P8	Load	
P11	Inj-Drive	
P12	IAT	
P13	MAT	
P14	COOLANT	
P15	TPS-5v	
P16	TPS	
P17	TPS-GND	
P18	O2	
P19	O2-GND	
P20	TACH-IN	
P21	DIS-BYPASS	
P22	IGN-ADVANCE	
P23	BRV-GND	
P24	Inj-Inputs	
P25	Injectors	
P26	Fuel Relay+	
P27	Fuel Relay-	
P31	..	
P32	.	
P33	Ground	
P34	BATT-GND	
P35	INJ-GND	
Q1	2N3906	
Q2	435M9395	
Q3	435M9395	
Q4	435M9395	
Q5	435M9395	
Q6	435M9395	
Q7	435M9395	
Q8	MOSFET_N	
R1	10k	
R2	10k	
R3	10k	
R4	10k	
R5	10k	
R6	3.9k	
R7	1k	
R9	470	
R10	470	
R21	330	
R22	1.6k	
R23	1.6k	
R24	1k	
R25	39k	
R26	10k	
R27	750	
R31	2.49k	
R32	2.49k	
R33	2.49k	
R34	2.2k	
R35	2.2k	
R36	2.2k	
R37	1M	
R39	1k	
R41	1k	
R53	100k	
R54	100k	
R55	100k	
R56	1k	
R57	1k	
R58	1k	
R59	100k	
R60	100k	
R61	100k	
R62	1k	
R63	1k	
R64	1k	
R65	1k	
R66	0	
R67	0	
R68	0	
R69	0	
R70	0	
R71	0	
U1	MC9S12XDP512	mc9s12xdp512-LQFP112
U2	LM2937EM-5.0	
U3	LM2937EM-5.0	
U4	FT232RL	
U5	74LS86	
U6	MPX4100AP	
X1	16MHz	
